,Date,Route,Attempted,Succeeded,Success Percentage,Battery Voltage AVG,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG,Solare Radiation AVG
0,11/27/2015,Disappointment Cleaver,2,0,0.0,13.64375,26.32166667,19.715,27.83958333,68.00416667,88.49625
1,11/21/2015,Disappointment Cleaver,3,0,0.0,13.74958333,31.3,21.69070833,2.245833333,117.54966670000002,93.66041667
2,10/15/2015,Disappointment Cleaver,2,0,0.0,13.46125,46.44791667,27.21125,17.163625,259.121375,138.387
3,10/9/2015,Disappointment Cleaver,2,0,0.0,13.21625,38.26041667,74.32916667,65.13833333,264.6875,27.79129167
4,10/3/2015,Disappointment Cleaver,10,0,0.0,13.5775,31.82291667,62.33708333,13.12504167,153.9316667,196.3752083
5,10/3/2015,Disappointment Cleaver,2,0,0.0,13.5775,31.82291667,62.33708333,13.12504167,153.9316667,196.3752083
6,10/2/2015,Disappointment Cleaver,2,0,0.0,13.505,36.06416667,47.017375,6.4459166670000005,247.3183333,176.2655417
7,9/30/2015,Disappointment Cleaver,2,0,0.0,13.48333333,38.72958333,57.36958333,11.30075,216.9341667,202.81275
8,9/28/2015,Disappointment Cleaver,12,4,0.333333333,13.50333333,38.33541667,27.02541667,17.11520833,270.8666667,201.85258330000002
9,9/27/2015,Disappointment Cleaver,12,6,0.5,13.50458333,35.105,23.76833333,4.5570833330000005,188.2135833,201.89120830000002
10,9/26/2015,Disappointment Cleaver,2,0,0.0,13.51625,27.32208333,59.46991667,15.73075,216.3425,183.87170830000002
11,9/26/2015,Disappointment Cleaver,12,3,0.25,13.51625,27.32208333,59.46991667,15.73075,216.3425,183.87170830000002
12,9/26/2015,Disappointment Cleaver,3,0,0.0,13.51625,27.32208333,59.46991667,15.73075,216.3425,183.87170830000002
13,9/25/2015,Disappointment Cleaver,12,9,0.75,13.03708333,32.39041667,95.30583333,61.3875,261.03333330000004,12.38258333
14,9/25/2015,Disappointment Cleaver,11,6,0.545454545,13.03708333,32.39041667,95.30583333,61.3875,261.03333330000004,12.38258333
15,9/24/2015,Disappointment Cleaver,10,0,0.0,13.55375,36.09958333,60.97875,51.61083333,265.4166667,180.315875
16,9/24/2015,Disappointment Cleaver,11,1,0.090909091,13.55375,36.09958333,60.97875,51.61083333,265.4166667,180.315875
17,9/23/2015,Disappointment Cleaver,12,0,0.0,13.5425,30.87583333,70.45,35.44875,263.3833333,138.2574583
18,9/22/2015,Disappointment Cleaver,3,0,0.0,13.47,34.56541667,21.985,22.35341667,247.15875,215.4495417
19,9/21/2015,Disappointment Cleaver,2,0,0.0,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
20,9/21/2015,Disappointment Cleaver,2,0,0.0,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
21,9/21/2015,Disappointment Cleaver,11,0,0.0,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
22,9/21/2015,Disappointment Cleaver,8,0,0.0,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
23,9/21/2015,Disappointment Cleaver,10,9,0.9,13.46375,37.40666667,17.20541667,13.77908333,149.3954167,221.8321667
24,9/20/2015,Disappointment Cleaver,3,0,0.0,13.47,37.6425,68.0775,31.28666667,40.02583333,215.14358330000002
25,9/20/2015,Disappointment Cleaver,12,7,0.583333333,13.47,37.6425,68.0775,31.28666667,40.02583333,215.14358330000002
26,9/20/2015,Disappointment Cleaver,12,0,0.0,13.47,37.6425,68.0775,31.28666667,40.02583333,215.14358330000002
27,9/20/2015,Disappointment Cleaver,11,0,0.0,13.47,37.6425,68.0775,31.28666667,40.02583333,215.14358330000002
28,9/19/2015,Disappointment Cleaver,12,0,0.0,13.48041667,40.44916667,63.53708333,7.9539166670000006,34.0375,219.4595
29,9/19/2015,Disappointment Cleaver,2,0,0.0,13.48041667,40.44916667,63.53708333,7.9539166670000006,34.0375,219.4595
30,9/19/2015,Disappointment Cleaver,12,0,0.0,13.48041667,40.44916667,63.53708333,7.9539166670000006,34.0375,219.4595
31,9/19/2015,Disappointment Cleaver,11,0,0.0,13.48041667,40.44916667,63.53708333,7.9539166670000006,34.0375,219.4595
32,9/18/2015,Disappointment Cleaver,12,0,0.0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
33,9/18/2015,Disappointment Cleaver,11,0,0.0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
34,9/18/2015,Disappointment Cleaver,12,0,0.0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
35,9/18/2015,Disappointment Cleaver,2,0,0.0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
36,9/18/2015,Disappointment Cleaver,2,0,0.0,13.4575,34.73375,52.70166667,6.354375,30.35875,200.940625
37,9/17/2015,Disappointment Cleaver,12,0,0.0,13.61083333,26.44208333,85.25291667,9.367166667000001,28.55166667,203.176375
38,9/16/2015,Disappointment Cleaver,12,0,0.0,13.59958333,22.08,98.65,15.922375,17.27916667,142.4772917
39,9/15/2015,Disappointment Cleaver,9,0,0.0,13.54166667,19.81375,54.48041667,7.8277083329999995,13.49,153.95775
40,9/14/2015,Disappointment Cleaver,8,7,0.875,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
41,9/14/2015,Disappointment Cleaver,12,12,1.0,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
42,9/14/2015,Disappointment Cleaver,2,2,1.0,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
43,9/14/2015,Disappointment Cleaver,3,3,1.0,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
44,9/14/2015,Disappointment Cleaver,2,2,1.0,13.49958333,23.02125,60.216125,11.10675,13.96916667,90.693
45,9/13/2015,Disappointment Cleaver,2,0,0.0,13.44125,42.59166667,17.42758333,14.43820833,20.535,207.5935
46,9/13/2015,Disappointment Cleaver,12,0,0.0,13.44125,42.59166667,17.42758333,14.43820833,20.535,207.5935
47,9/13/2015,Disappointment Cleaver,12,0,0.0,13.44125,42.59166667,17.42758333,14.43820833,20.535,207.5935
48,9/13/2015,Disappointment Cleaver,11,0,0.0,13.44125,42.59166667,17.42758333,14.43820833,20.535,207.5935
49,9/12/2015,Disappointment Cleaver,2,0,0.0,13.42666667,51.76,27.91541667,19.81575,220.86625,238.10541669999998
50,9/12/2015,Disappointment Cleaver,11,0,0.0,13.42666667,51.76,27.91541667,19.81575,220.86625,238.10541669999998
51,9/12/2015,Disappointment Cleaver,11,0,0.0,13.42666667,51.76,27.91541667,19.81575,220.86625,238.10541669999998
52,9/12/2015,Disappointment Cleaver,2,0,0.0,13.42666667,51.76,27.91541667,19.81575,220.86625,238.10541669999998
53,9/12/2015,Disappointment Cleaver,2,0,0.0,13.42666667,51.76,27.91541667,19.81575,220.86625,238.10541669999998
54,9/12/2015,Disappointment Cleaver,2,2,1.0,13.42666667,51.76,27.91541667,19.81575,220.86625,238.10541669999998
55,9/12/2015,Disappointment Cleaver,1,0,0.0,13.42666667,51.76,27.91541667,19.81575,220.86625,238.10541669999998
56,9/12/2015,Disappointment Cleaver,12,11,0.916666667,13.42666667,51.76,27.91541667,19.81575,220.86625,238.10541669999998
57,9/11/2015,Disappointment Cleaver,3,0,0.0,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
58,9/11/2015,Disappointment Cleaver,12,4,0.333333333,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
59,9/11/2015,Disappointment Cleaver,12,4,0.333333333,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
60,9/11/2015,Disappointment Cleaver,12,0,0.0,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
61,9/11/2015,Disappointment Cleaver,1,0,0.0,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
62,9/11/2015,Disappointment Cleaver,4,0,0.0,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
63,9/11/2015,Disappointment Cleaver,6,0,0.0,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
64,9/11/2015,Disappointment Cleaver,2,2,1.0,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
65,9/11/2015,Disappointment Cleaver,2,0,0.0,13.43166667,52.30416667,18.9025,12.39225,278.9,234.3315833
66,9/10/2015,Disappointment Cleaver,12,0,0.0,13.40291667,53.10583333,15.78708333,2.488416667,140.1174583,243.4372917
67,9/10/2015,Disappointment Cleaver,2,2,1.0,13.40291667,53.10583333,15.78708333,2.488416667,140.1174583,243.4372917
68,9/9/2015,Disappointment Cleaver,2,2,1.0,13.44625,47.29416667,25.0825,7.66225,208.80083330000002,241.27829169999998
69,9/9/2015,Disappointment Cleaver,2,0,0.0,13.44625,47.29416667,25.0825,7.66225,208.80083330000002,241.27829169999998
70,9/9/2015,Disappointment Cleaver,12,10,0.833333333,13.44625,47.29416667,25.0825,7.66225,208.80083330000002,241.27829169999998
71,9/8/2015,Disappointment Cleaver,2,0,0.0,13.48166667,43.75958333,40.11041667,7.346541667,200.0033333,243.2357083
72,9/7/2015,Disappointment Cleaver,2,0,0.0,13.46125,35.25291667,48.96291667,3.89525,235.4966667,248.5455
73,9/7/2015,Disappointment Cleaver,3,0,0.0,13.46125,35.25291667,48.96291667,3.89525,235.4966667,248.5455
74,9/7/2015,Disappointment Cleaver,12,5,0.41666666700000005,13.46125,35.25291667,48.96291667,3.89525,235.4966667,248.5455
75,9/7/2015,Disappointment Cleaver,8,4,0.5,13.46125,35.25291667,48.96291667,3.89525,235.4966667,248.5455
76,9/7/2015,Disappointment Cleaver,11,0,0.0,13.46125,35.25291667,48.96291667,3.89525,235.4966667,248.5455
77,9/7/2015,Disappointment Cleaver,11,9,0.818181818,13.46125,35.25291667,48.96291667,3.89525,235.4966667,248.5455
78,9/6/2015,Disappointment Cleaver,12,0,0.0,13.45666667,28.99416667,74.715,11.76808333,213.9854167,241.9712917
79,9/6/2015,Disappointment Cleaver,11,0,0.0,13.45666667,28.99416667,74.715,11.76808333,213.9854167,241.9712917
80,9/6/2015,Disappointment Cleaver,12,0,0.0,13.45666667,28.99416667,74.715,11.76808333,213.9854167,241.9712917
81,9/5/2015,Disappointment Cleaver,3,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
82,9/5/2015,Disappointment Cleaver,2,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
83,9/5/2015,Disappointment Cleaver,3,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
84,9/5/2015,Disappointment Cleaver,12,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
85,9/5/2015,Disappointment Cleaver,2,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
86,9/5/2015,Disappointment Cleaver,4,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
87,9/5/2015,Disappointment Cleaver,12,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
88,9/5/2015,Disappointment Cleaver,11,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
89,9/5/2015,Disappointment Cleaver,2,0,0.0,13.4,24.97708333,74.395,4.64325,221.5945833,221.49400000000003
90,9/4/2015,Disappointment Cleaver,3,0,0.0,13.44416667,21.42833333,90.97875,5.825083332999999,173.56916669999998,141.671125
91,9/4/2015,Disappointment Cleaver,12,0,0.0,13.44416667,21.42833333,90.97875,5.825083332999999,173.56916669999998,141.671125
92,9/4/2015,Disappointment Cleaver,12,0,0.0,13.44416667,21.42833333,90.97875,5.825083332999999,173.56916669999998,141.671125
